"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"02090021"|""|"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem de outro modo extraídas, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - Gordura de porco - Fresca, refrigerada ou congelada"|0|"01"|"51"|""|""|""
"02090029"|""|"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem de outro modo extraídas, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - Gordura de porco - Outras"|0|"01"|"51"|""|""|""
"02090090"|""|"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem de outro modo extraídas, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - Outros"|0|"01"|"51"|""|""|""
"02101100"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie suína - Pernas, pás e respectivos pedaços, não desossados"|0|"01"|"51"|"72"|"09"|"209"
"02101200"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie suína - Toucinho entremeado de carne, e seus pedaços"|0|"01"|"51"|"72"|"09"|"209"
"02101900"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie suína - Outras"|0|"01"|"51"|"72"|"09"|"209"
"02102000"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie bovina"|0|"01"|"51"|""|""|""
"02109100"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - De primatas"|0|"01"|"51"|""|""|""
"02109100"|"01"|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - Miudezas; farinhas e pós dessas miudezas"|-1|"03"|"53"|""|""|""
"02109200"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - De baleias, golfinhos e marsuínos (mamíferos da ordem dos cetáceos); de peixes-boi e dugongos (mamíferos da ordem dos sirênios)"|0|"01"|"51"|""|""|""
"02109200"|"01"|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - Miudezas; farinhas e pós dessas miudezas"|-1|"03"|"53"|""|""|""
"02109300"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - De répteis (incluídas as serpentes e as tartarugas marinhas)"|0|"01"|"51"|""|""|""
"02109300"|"01"|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - Miudezas; farinhas e pós dessas miudezas"|-1|"03"|"53"|""|""|""
"02109900"|""|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - Outras"|0|"01"|"51"|"72"|"09"|"209"
"02109900"|"01"|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - Miudezas, exceto fígados de aves da posição 01.05; farinhas e pós dessas miudezas"|-1|"03"|"53"|"72"|"09"|"209"
"02109900"|"02"|"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluídos as farinhas e pós, comestíveis, de carnes ou de miudezas - Fígados de aves da posição 01.05, salgados ou em salmora"|-1|"03"|"53"|"72"|"09"|"209"
"03011010"|""|"Peixes vivos - Peixes ornamentais - Aruanã (Osteoglossum bicirrhosum)"|-1|"03"|"53"|""|""|""
"03011090"|""|"Peixes vivos - Peixes ornamentais - Outros"|-1|"03"|"53"|""|""|""
"03019110"|""|"Peixes vivos - Outros peixes vivos - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) - Para reprodução"|-1|"03"|"53"|""|""|""
"03019190"|""|"Peixes vivos - Outros peixes vivos - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) - Outras"|-1|"03"|"53"|""|""|""
