"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"105053010"|"Serviços de transporte intermodal de cargas soltas, não unitizadas."|16.06|16.66
"105053020"|"Serviços de transporte intermodal de cargas unitizadas, exceto de contêineres"|16.06|16.66
"105054010"|"Serviços de transporte intermodal de cargas frigorificadas ou climatizadas"|16.06|16.66
"105054090"|"Serviços de transporte intermodal de outros tipos de contêineres"|16.06|16.66
"105055000"|"Serviços de transporte intermodal de mudanças domésticas, de mobília de escritório e de outros objetos"|16.06|16.66
"105056000"|"Serviços de transporte intermodal de cargas especiais e de grande porte"|16.06|16.66
"105057000"|"Serviços de transporte intermodal de veículos"|16.06|16.66
"105058010"|"Serviços de transporte intermodal de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"105058020"|"Serviços de transporte intermodal de produtos químicos perigosos"|16.06|16.66
"105058090"|"Serviços de transporte intermodal de outros produtos perigosos"|16.06|16.66
"105059000"|"Serviços de transporte intermodal de outros tipos de carga"|16.06|16.66
"106011000"|"Serviços de manuseio de contêineres"|16.06|16.66
"106019000"|"Outros serviços de manuseio de cargas e bagagens"|16.06|16.66
"106021000"|"Serviços de armazenagem frigorífica"|17.06|17.66
"106022010"|"Serviços de armazenagem de petróleo e seus derivados"|16.06|16.66
"106022020"|"Serviços de armazenagem de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"106022030"|"Serviços de armazenagem de produtos químicos perigosos"|16.06|16.66
"106022090"|"Serviços de armazenagem de outros produtos perigosos"|16.06|16.66
"106023010"|"Serviços de armazenagem de granéis sólidos"|16.06|16.66
"106023020"|"Serviços de armazenagem de granéis líquidos ou liquefeitos"|16.06|16.66
"106023030"|"Serviços de armazenagem de granéis gasosos"|16.06|16.66
"106029000"|"Outros serviços de armazenagem em depósitos"|16.06|16.66
"106030000"|"Serviços de apoio para transportes ferroviários"|16.06|16.66
"106041000"|"Serviços de estações rodoviárias"|16.06|16.66
"106042010"|"Serviços de operação de autoestradas"|16.06|16.66
"106042020"|"Serviços de operação de pontes e túneis"|16.06|16.66
"106042030"|"Serviços de exploração de pedágios"|17.25|17.85
"106043000"|"Serviços de estacionamentos"|17.06|17.66
"106044000"|"Serviços de reboque para veículos particulares e comerciais"|16.06|16.66
"106049000"|"Outros serviços de apoio ao transporte rodoviário"|17.25|17.85
"106051000"|"Serviços de operação de portos e canais, exceto manuseio de cargas"|16.06|16.66
"106052000"|"Serviços de praticagem e de docas"|16.06|16.66
"106053000"|"Serviços de salvamento de embarcações"|16.06|16.66
"106059000"|"Outros serviços de apoio ao transporte aquaviário, exceto os serviços de navegação de apoio"|17.25|17.85
"106061000"|"Serviços de operação de aeroportos, exceto manuseio de cargas"|16.06|16.66
"106062000"|"Serviços de controle de tráfego aéreo"|16.06|16.66
"106069000"|"Outros serviços de apoio ao transporte aéreo"|17.65|18.25
"106071000"|"Serviços de agências de fretamento de transporte e outros serviços de fretamento de transportes"|16.06|16.66
"106072000"|"Outros serviços de apoio aos transporte não classificados em outra posição"|16.06|16.66
"106081000"|"Serviços de coleta e entrega do transporte multimodal e intermodal de cargas"|16.06|16.66
"106082000"|"Serviços de unitização ou desunitização do transporte multimodal e intermodal de cargas"|16.06|16.66
"106083000"|"Serviços de movimentação do transporte multimodal e intermodal de cargas"|16.06|16.66
"106084000"|"Serviços de consolidação ou desconsolidação documental do transporte multimodal e intermodal de cargas"|16.06|16.66
"106089000"|"Outros serviços de apoio ao transporte multimodal e intermodal de cargas"|16.06|16.66
"107010000"|"Serviços postais"|18.42|19.02
"107020000"|"Serviços de coleta, remessa ou entrega de documentos (exceto cartas) ou de pequenos objetos"|18.42|19.02
"107030000"|"Serviços de remessas expressas"|18.42|19.02
"108011100"|"Serviços de transmissão de eletricidade"|13.45|14.05
"108011200"|"Serviços de distribuição de eletricidade"|13.45|14.05
"108012000"|"Serviços de distribuição de gás canalizado"|13.45|14.05
"108021000"|"Serviços de distribuição de água por meio de tubulações, exceto vapor de água e água quente"|13.45|14.05
"108022000"|"Serviços de distribuição de vapor de água, água quente e ar condicionado por meio de tubulações"|13.45|14.05
"108023000"|"Serviços de distribuição de água, exceto através de tubulações"|13.45|14.05
"109011000"|"Serviços de banco central"|17.15|17.75
"109012100"|"Serviços de depósito para pessoas jurídicas"|18.36|18.96
"109012200"|"Serviços de depósito para pessoas físicas"|18.35|18.95
"109012900"|"Outros serviços de depósito"|18.41|19.01
"109013100"|"Serviços de financiamentos imobiliários residenciais"|18.43|19.03
"109013200"|"Serviços de financiamentos imobiliários não-residenciais"|18.43|19.03
"109013300"|"Serviços de empréstimos e financiamentos, pessoais"|18.43|19.03
"109013400"|"Serviços de empréstimos e financiamentos, comerciais"|18.43|19.03
"109013500"|"Serviços de empréstimos e financiamentos, industriais"|18.43|19.03
"109013600"|"Serviços de empréstimos e financiamentos, agropecuários"|18.43|19.03
"109013900"|"Outros serviços de concessão de crédito"|18.43|19.03
"109014000"|"Serviços de cartão de crédito"|18.43|19.03
"109015111"|"Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de passageiros"|16.70|17.30
